,А07,А08,А11,А14,А25,А25А,А27
05:00-06:00,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
06:00-07:00,1.0,2.0,4.0,4.0,12.0,1.0,1.0
07:00-08:00,1.0,6.0,8.0,12.0,16.0,1.0,6.0
08:00-09:00,1.0,6.0,8.0,12.0,16.0,1.0,6.0
09:00-10:00,1.0,6.0,8.0,12.0,16.0,1.0,6.0
10:00-11:00,1.0,6.0,8.0,12.0,16.0,1.0,6.0
11:00-12:00,1.0,5.0,8.0,12.0,16.0,-1.0,6.0
12:00-13:00,1.0,4.0,8.0,12.0,16.0,1.0,6.0
13:00-14:00,1.0,5.0,8.0,12.0,16.0,1.0,6.0
14:00-15:00,1.0,5.0,8.0,12.0,16.0,1.0,6.0
15:00-16:00,1.0,6.0,8.0,12.0,16.0,-1.0,6.0
16:00-17:00,1.0,6.0,8.0,12.0,16.0,1.0,6.0
17:00-18:00,1.0,6.0,8.0,12.0,16.0,1.0,6.0
18:00-19:00,1.0,6.0,8.0,12.0,16.0,1.0,6.0
19:00-20:00,1.0,6.0,8.0,12.0,16.0,1.0,6.0
20:00-21:00,1.0,6.0,8.0,11.0,15.0,1.0,6.0
21:00-22:00,1.0,4.0,6.0,6.0,12.0,-1.0,6.0
22:00-23:00,-1.0,1.0,2.0,2.0,6.0,-1.0,2.0
Presence rate,93.75,91.86,48.39,75.98,46.64,61.54,47.31
